,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,Puntaje
17167,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
17168,6,5,5,4,3,4,5,4,3,2,3,4,5,4,3,2,3,4,3,2,3.7
17169,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8.0
17170,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8.95
17171,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
17172,7,7,7,7,7,7,7,7,6,5,6,6,5,6,6,5,6,5,6,5,6.15
17173,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
17174,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
17175,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0
17176,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
17177,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.1
17178,5,3,5,5,5,5,5,5,5,4,4,4,4,5,4,4,4,4,4,4,4.4
17179,4,4,4,4,5,5,6,6,5,6,6,6,6,6,6,6,7,7,7,7,5.65
17180,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,6,4,5,5,5,4.35
17181,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
17182,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,7,7,7,7,7,7.05
17183,5,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,4,5,5,5.3
17184,2,2,2,1,2,2,2,2,2,1,2,2,1,3,4,2,2,2,2,2,2.0
17185,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0
17186,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8.0
17187,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
17188,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
17189,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
34740,10,9,10,9,10,9,10,9,9,10,10,10,9,10,9,10,9,10,10,10,9.6
34741,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
34742,9,9,9,9,7,7,7,7,7,7,7,9,10,6,4,4,9,7,6,10,7.5
34743,10,10,9,9,9,9,9,9,9,9,9,9,9,9,8,10,9,10,9,10,9.2
34744,6,7,6,6,5,6,7,5,7,5,5,5,7,5,6,6,5,6,7,5,5.85
34745,8,8,8,8,8,8,8,8,8,7,7,8,8,7,8,7,8,8,8,8,7.8
34746,5,4,5,4,5,4,5,5,5,8,7,8,1,8,2,7,6,1,7,9,5.3
34747,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,5,6,6,6,6,5.3
34748,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
34749,8,9,8,9,8,9,9,8,8,9,8,9,8,9,8,7,8,9,7,8,8.3
34750,2,1,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,2.85
34751,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9.0
34752,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,9.65
34753,10,10,10,10,10,9,10,10,10,9,10,10,10,10,9,10,10,10,10,10,9.85
34754,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
34755,10,10,9,10,10,10,10,1,10,10,10,10,10,10,10,10,10,10,10,10,9.5
34756,10,10,9,9,10,9,10,10,10,9,9,10,9,10,10,10,9,9,9,9,9.5
34757,9,10,10,10,9,10,9,10,10,10,9,10,10,8,10,10,10,10,9,10,9.65
34758,9,7,9,8,8,7,8,9,9,8,9,9,8,8,10,10,9,9,9,8,8.55
34759,8,8,9,8,8,9,9,7,8,5,9,7,7,9,8,8,7,8,7,9,7.9
50989,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4.1
50990,9,8,9,8,8,9,9,7,8,9,7,9,9,8,8,8,9,8,9,9,8.4
50991,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0
50992,7,7,9,7,7,7,7,7,7,7,7,8,7,7,7,7,7,7,7,7,7.15
50993,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
50994,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9.0
50995,8,9,10,7,6,10,8,9,9,8,9,9,10,10,10,10,9,9,10,10,9.0
50996,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.0
50997,9,9,9,9,9,9,10,10,9,8,9,9,7,8,8,8,9,9,9,9,8.8
50998,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0
50999,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
51000,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8.0
51001,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9.7
51002,1,1,4,4,4,3,2,4,8,4,4,6,5,3,3,5,3,2,5,4,3.75
51003,9,9,9,9,9,9,9,9,9,8,9,8,9,9,9,8,8,9,8,8,8.7
51004,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0
51005,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9.05
51006,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
51007,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
51203,9,6,6,7,7,7,7,6,6,6,7,6,6,5,5,5,7,8,7,6,6.45
51204,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
51205,4,4,3,3,3,3,3,3,3,3,4,5,5,5,5,4,4,4,4,4,3.8
51206,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
51207,9,10,10,9,9,9,9,9,9,8,9,9,9,9,9,9,9,9,8,8,8.95
51208,9,8,8,8,7,8,7,8,8,7,8,7,8,7,9,8,6,8,8,7,7.7
51209,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.85
51210,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.0
51211,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
51212,10,10,10,10,10,10,10,10,10,10,10,10,9,9,10,10,9,10,10,10,9.85
51213,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.0
51214,9,8,8,9,9,8,8,9,8,9,8,9,8,9,9,8,9,8,9,9,8.55
54802,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
